                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.21638,                  1.076,                0.93403,                0.61156,                      1,                0.98589,                0.90836,                0.43701,                 1.8645,                0.60143,                0.00505,                0.00505,                0.00505
                     52,                0.30745,                 1.1439,                 1.0376,                0.62432,                      1,                  0.995,                0.94315,                0.34784,                 1.4171,                0.52596,               0.004951,               0.004951,               0.004951
                     53,                0.22494,                0.99485,                0.94082,                0.78863,                0.96924,                0.95354,                 0.9411,                0.25915,                 1.0867,                0.41802,               0.004852,               0.004852,               0.004852
                     54,                0.22637,                 1.1624,                0.95443,                0.54209,                      1,                0.92996,                0.92014,                0.29373,                 1.5206,                0.43812,               0.004753,               0.004753,               0.004753
                     55,                0.22585,                 1.0269,                0.96064,                0.71575,                0.72917,                0.90923,                0.89447,                0.31954,                    1.6,                0.44892,               0.004654,               0.004654,               0.004654
                     56,                0.22423,                 1.2092,                0.96327,                0.81919,                0.72923,                0.95354,                 0.9411,                0.32523,                 1.4423,                 0.4703,               0.004555,               0.004555,               0.004555
                     57,                0.21991,                 1.0595,                0.95902,                0.66142,                0.86602,                0.91433,                0.89791,                0.34416,                 1.5096,                0.49798,               0.004456,               0.004456,               0.004456
                     58,                0.20432,                0.94631,                0.92114,                0.51621,                0.81321,                0.88927,                0.83561,                0.37373,                 1.7483,                0.52829,               0.004357,               0.004357,               0.004357
                     59,                0.19997,                0.86737,                0.95396,                0.52096,                0.78098,                 0.8925,                0.85977,                0.36675,                 1.8175,                0.52834,               0.004258,               0.004258,               0.004258
                     60,                0.20951,                 1.1686,                  0.911,                0.53031,                  0.875,                0.89356,                0.84434,                0.36666,                 1.7345,                0.55369,               0.004159,               0.004159,               0.004159
                     61,                0.18876,                0.82851,                0.96802,                0.63766,                  0.875,                0.97417,                0.91519,                0.41765,                 1.5652,                0.66211,                0.00406,                0.00406,                0.00406
                     62,                0.18081,                0.92167,                0.94457,                0.71077,                   0.75,                0.98458,                0.84241,                0.39134,                 1.5313,                0.61343,               0.003961,               0.003961,               0.003961
                     63,                0.22388,                 1.0008,                0.94717,                0.87727,                  0.625,                0.92031,                0.80633,                0.42846,                 1.6855,                0.63732,               0.003862,               0.003862,               0.003862
